code,stockName,stockNameEng,openPrice,nationType
CMRX,키메릭스,Chimerix Inc,0.91,USA
BIRD,올버즈,Allbirds Inc,0.53,USA
VOR,보어 바이오파마,Vor Biopharma Inc,1.2,USA
EMCG,임브레이스 체인지 애퀴지션,Embrace Change Acquisition Corp,11.26,USA
MRNS,매리너스 파마슈티컬스,Marinus Pharmaceuticals Inc,1.5,USA
BUJAU,Bukit Jalil Global Acquisition 1 Units,Bukit Jalil Global Acquisition 1 Units,10.71,USA
SURG,서지페이즈,Surgepays Inc,4.3,USA
ELUT,엘루시아,Elutia Inc,3.34,USA
FIAC,포커스 임팩트 애퀴지션,Focus Impact Acquisition Corp,11.1,USA
MAXN,맥시온솔라테크놀로지스,Maxeon Solar Technologies Ltd,1.53,USA
GLST,글로벌 스타 애퀴지션,Global Star Acquisition Inc,11.44,USA
IRAA,아이리스 애퀴지션,Iris Acquisition Corp,11.45,USA
SIEB,시버트 파이낸셜 코퍼레이션,Siebert Financial Corp,2.07,USA
BLEU,블루아카시아,Bleuacacia Ltd,10.91,USA
RSSS,리서치 솔루션스,Research Solutions Inc,2.51,USA
CDTG,CDT 인바이어런먼털 테크놀로지 인베스트먼트 홀딩스,CDT Environmental Technology Investment Holdings Ltd,4.12,USA
OSS,원 스탑 시스템,One Stop Systems Inc,2.21,USA
LINK,인터링크 일렉트로닉스,Interlink Electronics Inc,4.26,USA
BLAC,벨뷰 라이프 사이언시스 애퀴지션,Bellevue Life Sciences Acquisition Corp,10.74,USA
YOTA,요타 애퀴지션,Yotta Acquisition Corp,11.0,USA
DXR,닥소,Daxor Corp,9.05,USA
AIRE,리알파 테크,reAlpha Tech Corp,1.0,USA
DUET,듀엣 애퀴지션,DUET Acquisition Corp,11.06,USA
OPHC,옵티멈뱅크 홀딩스,OptimumBank Holdings Inc,4.47,USA
CPTN,셉톤,Cepton Inc,2.84,USA
HSON,허드슨 글로벌,Hudson Global Inc,15.2,USA
RVPH,리비바 파마슈티컬스 홀딩스,Reviva Pharmaceuticals Holdings  Inc.,1.42,USA
OKYO,OKYO 파마 ADR,OKYO Pharma Ltd,1.39,USA
AADI,아디 바이오사이언스,Aadi Bioscience Inc,1.72,USA
PODC,포드캐스톤,Podcastone Inc,1.81,USA
CODX,코다이아그나스틱스,Co-Diagnostics Inc,1.45,USA
KOSS,코스,Koss Corp,4.45,USA
ALGS,앨리고스 테라퓨틱스,Aligos Therapeutics Inc,0.55,USA
LEXX,렉사리아 바이오사이언스,Lexaria Bioscience Corp,3.3,USA
RAND,랜드 캐피탈,Rand Capital Corp,16.9,USA
VERB,버브 테크놀러지,Verb Technology Company Inc,0.14,USA
MTEX,매나테크,Mannatech Inc,8.0,USA
DXYN,딕시 그룹,Dixie Group Inc,0.92,USA
CMMB,키모맵 테라퓨틱스 ADR,Chemomab Therapeutics Ltd ADR,1.05,USA
SGLY,싱귤러리티 퓨처 테크놀로지,Singularity Future Technology Ltd,3.98,USA
FTFT,퓨처 핀테크 그룹,Future Fintech Group Inc,0.75,USA
FLGC,플로라 그로스,Flora Growth Corp,1.2,USA
EDUC,에듀케이셔널 디벨롭먼트,Educational Development Corp,1.71,USA
FRES,프레시2 그룹 ADR,Fresh2 Group Ltd ADR,0.41,USA
MNPR,모노파 테라퓨틱스,Monopar Therapeutics Inc,0.84,USA
INTJ,인텔리전트 그룹,Intelligent Group Ltd,1.05,USA
QTI,QT 이미징 홀딩스,QT Imaging Holdings Inc,0.67,USA
YJ,윤지 ADR,Yunji Inc ADR,0.7,USA
GLTO,갈렉토,Galecto Inc,0.53,USA
ASTR,아스트라 스페이스,Astra Space Inc,0.59,USA
ELSE,일렉트로-센서스,Electro-Sensors Inc,4.04,USA
UCAR,유 파워,U Power Ltd,5.38,USA
YGMZ,명주 로지스틱 홀딩스,MingZhu Logistics Holdings Ltd,0.36,USA
HYW,해인 금융 지주 그룹 ADR,Hywin Holdings Ltd ADR,0.42,USA
ONVO,오가노보 홀딩스,Organovo Holdings Inc,0.97,USA
DBGI,디지털 브랜즈 그룹,Digital Brands Group Inc,1.61,USA
CYTO,알타미라 테라퓨틱스,Altamira Therapeutics Ltd,1.39,USA
SNOA,소노마 파머수티컬스,Sonoma Pharmaceuticals Inc,0.21,USA
ATXI,애버뉴 테라퓨틱스,Avenue Therapeutics Inc,3.37,USA
XYLO,자일로 테크놀로지스 ADR,Xylo Technologies Ltd ADR,1.65,USA
XHG,X체인지 TEC.INC ADR,XChange TEC.INC ADR,0.74,USA
FRGT,프라이트 테크놀로지스,Freight Technologies Inc,0.59,USA
SINT,SINTX 테크놀로지스,SINTX Technologies Inc,5.04,USA
HSDT,헬리우스 메디컬 테크놀로지스,Helius Medical Technologies Inc,1.23,USA
TCON,트라콘 파마슈티컬스,TRACON Pharmaceuticals Inc,1.13,USA
SBET,샤프링크 게이밍,Sharplink Gaming Inc,0.9,USA
AUUD,아우디아,Auddia Inc,1.08,USA
BACK,IMAC 홀딩스,IMAC Holdings Inc,2.52,USA
INVO,INVO 바이오사이언스,INVO Bioscience Inc,0.77,USA
ZCMD,중차오,Zhongchao Inc,1.17,USA
AEMD,애슬론 메디컬,Aethlon Medical Inc,0.55,USA
CYCC,사이클라셀 파마슈티컬스,Cyclacel Pharmaceuticals Inc,1.94,USA
WNW,메이우 테크놀로지,Meiwu Technology Co Ltd,1.03,USA
SEEL,실로스 테라퓨틱스,Seelos Therapeutics Inc,1.09,USA
MVLA,모벨라 홀딩스,Movella Holdings Inc,,USA
